Topic,Count,Name,Representation,Representative_Docs
-1,9054,-1_entity_entities_async_devices,"['entity', 'entities', 'async', 'devices', 'config', 'device', 'attribute', 'update', 'coordinator', 'id']","[""Move the objects that are being created here every loop outside the loop so you only create them once I don't get this one sorry. There is only a single thing updated and then the loop gets broken I pushed a suggestion. It might need to be adjusted, but hopefully its enough to get you there. Thank you. But I don't understand the benefit, sorry. What are we trying to achieve here? The goal is to not have to pay the cost of recreating the variables every loop since they are created outside the loop I'm not trying to argue with you here btw, just legitimately curious and trying to learn something, because for me it all looks the same... the only variable that is created is name and that still happens on every loop now machine self.config entry.data[CONF MACHINE] is moved out side the loop Let's unpack this one self.config entry is having to look up config entry every loop .. similar to getattr(self,'config entry') config entry.data is having to lookup data every loop .. similar to getattr(config entry,'data') CONF MACHINE has to be looked up in data every loop But assigning it to the local var machine it only has to lookup machine tuple(BT MODEL NAMES) has to create the tuple every loop You can disassemble the code with to look at what its really doing tyvm. Understood, though I would have thought those to be ignorable performance wise (but I know you're the HA performance god, so I wanted to take that chance ). Why are you negating the condition though and using continue ? For most cases it won't matter, but we have users with 2000 visible bluetooth devices (or more -- some people live near train stations, etc) so you could end up creating 2000 tuples every time it looped on the miss case. It makes the code more readable by saving indent kinda disagree on that last one, because the code itself gets harder to read imo (especially since that introduces an uncovered line, which I needed to add an extra test for ) and btw. by using and we can avoid doing the split on every loop because we can jump out when the prefix doesn't match (can't we) Its just a suggestion, if you don't like it feel free to revert it and do it another way done. Sometimes it's hard to tell which reviews are suggestions and which are mandatory from the reviewers side. As soon as one of the or is true the evaluation will stop, the continue will be reached so you'll never get to the split That's because the CI is measuring line cover, not branch coverage so the code is still uncovered even if you remove the guard. that's true of course, but tbh in this case I only care about line coverage, as there is no code to test for the other case yeah, right ofc"", ""Why do we still allow entities to be selected? Is the device alone not enough? You can always select entities when using the target, I am merely filtering. And I did make it work through entities or devices, both work. That keeps me happy since I can use the entity id :) And you can also use device id is you prefer. It's not up to each integration to add other ids than the required id, just for the sake of ease. That should be handled centrally by Home Assistant if we want to do that. Please remove the entity id selector. Sure I will remove it, but it does not make any sense to me. Then you get a target select in the UI in which the user can select devices or entities (or area's or even labels) and when the user selects a entity it will just not do anything. Nothing in the UI tell the user to use the device as target and not a entity as target. Seems very confusing to me. Edit: See post below, now makes sense entity selection has been removed"", ""I noticed the setup purpleair fixture uses async setup component and passes a config. That's not useful. This integration only uses config entries, so it's better to use hass.config entries.async setup to set up the config entry. But I don't always want the config entry to be set up automatically. Using hass.config entries.async setup will cause most of my tests to fail because they'll be attempting to duplicate an already-existing config entry. async setup component ensures that I can detach platform setup (including entities, devices, etc.) from where the config entry exists. I'm not following. hass.config entries.async setup will set up a config entry, it doesn't create a config entry. Where do I get that config entry ID from? From the existing config entry fixture? Yes. Ah, okay then, in my config flow tests, I can just make sure to use different unique data to avoid duplicates. Thank you!""]"
0,694,0_sensor_sensors_sensorentitydescription_sensorpy,"['sensor', 'sensors', 'sensorentitydescription', 'sensorpy', 'sensorentity', 'binary', 'alarm', 'switch', 'device', 'logic']","['Sensor should be in sensor platform.', 'So this sensor would just always be none?', 'Binary sensor?']"
1,432,1_entitydescription_entitydescriptions_entity_entities,"['entitydescription', 'entitydescriptions', 'entity', 'entities', 'entitynaming', 'descriptionkey', 'changingtheentitymodel', 'descriptions', 'description', 'property']","['You could use description instead of self.entity description here. Changed', 'Must use self.entity description here as entity description can be set also as class variable', 'Why not set the state class in the entity description?']"
2,416,2_reauth_reauthentication_oauth_invalidauth,"['reauth', 'reauthentication', 'oauth', 'invalidauth', 'auth', 'authentication', 'configentryauthfailed', 'authenticate', 'credentials', 'login']","[""If it's an authentication error we should probably raise ConfigEntryAuthFailed and add a reauth step in the config flow, to let the user re-authenticate. For other connection errors, that we think may be resolved automatically, we raise ConfigEntryNotReady ."", 'Please add reauth in a separate PR', 'In a future PR you can raise ConfigEntryAuthFailed to start a reauth flow. Reauth would be a nice addition in the future indeed in case a user updates their password :)']"
3,391,3_dict_dicts_dictget_dictgetkey,"['dict', 'dicts', 'dictget', 'dictgetkey', 'dictkey', 'dictionaries', 'dictstr', 'dictsetdefault', 'typeddict', 'dictionary']","['is this dict ever used ?', 'Why the dict', 'Should already be a dict?']"
4,379,4_translations_translators_translator_translated,"['translations', 'translators', 'translator', 'translated', 'translation', 'translate', 'scripttranslations', 'localize', 'locale', 'english']","[""Translations are handled by Lokalise. Please don't change any translation files, besides the default English translation that is autogenerated when running the translations develop script. I've just copied the translation files from transmission, since the same strings are used by both integrations. Reading the documentation, I'm not sure if I have to do something more to properly add the translations. The translations are provided by the translation community via Lokalise. We don't add translations here. It's the other way around. Please read the whole translations docs. Understood. Thanks."", ""Why is the name not translated? I just copied the the schedulepart VenstarSensorEntityDescription above and modified it for this. How would I make this a translatable string? You should set the translation key (and optionally also the translation placeholders ) of the entity description and update strings.json . For local testing, you need to run python3 -m script.translations develop --all for the (English) name to work. I already have translation key on this entity description and have the translations in strings.json . Is there anything else I need to do? The translations in strings.json only translate the states, there's no translation of the name."", 'We should not use the translation key for it. The translation key should only be used for translations.']"
5,347,5_thermostats_thermostat_hvacmodeoff_hvac,"['thermostats', 'thermostat', 'hvacmodeoff', 'hvac', 'temperatures', 'climate', 'temperature', 'modes', 'heating', 'heater']","['The auto mode doesn\'t support manual temperature control. The heat cool mode supports both low and high setpoints. In ha, are auto mode and heat cool mode the same? No. Auto mode means the user can\'t set the target temperature, while heat cool mode allows the user to set low and high target temperature setpoints. Both modes have some level of automatic control, but they are not the same. hvac-modes I couldn\'t find the set methods for low and high in the base class of climate L402 We use async set temperature to set those setpoints as well. Just look for the proper parameter names. Here\'s the service schema. L118-L130 Here we may need to wait for the write attribute of the matter server to be added to the dependency of HA before we can proceed, because the setpoint cannot be achieved through a command We actually added that yesterday based on your feedback so we could move on and add that in this beta too. So if I understand it correctly, some thermostats do support setting the hvac mode but you need to write the attribute yourself instead that there\'s is some ready made command within the cluster, right ? Yes, besides the system mode, when we need to adjust the low and high set points in the heat cool mode mentioned here, we also need to use write attribute to set them As soon as [this PR]( is merged, you can rebase your branch and you will have a ""write attribute"" available in the client.', 'The hvac mode must be one of the standard climate states of the climate entity design. hvac-modes Please create a map between the yolink device modes and the Home Assistant climate hvac modes.', 'The user should not choose HVAC mode, that is normally something the program does (or more correctly the automation connected). Some climate controls deliver the hvac mode, but there are no standard in modbus for that. That is correct - there is no ""standard"" for the hvac mode. I would argue the same is true for a modbus ""climate"" device in general, this entire integration doesn\'t really follow a standard. It\'s supposed to be generic enough that with enough configuration of registers, types, etc, that Home Assistant allows the device to be used as a thermostat. I want to add support for more thermostat features - as generic as possible. That being said - I spent quite a bit of time writing this to be as generic as possible, and to allow the user to map a device register to either the active mode HVAC ACTION and or supported modes HVAC MODE . The user then specifies when Home Assistant reads those two registers, what the values actually mean in the context of a thermostat (the values configuration variables). The active hvac state is read out of the device and interpreted according to the hvac action supported list. The hvac mode can either be read from the device and interpreted according to the hvac mode supported list, or it can be written to the device using the async set hvac mode() function. The only possible thing that I can think to do to make this more generic than it already is would be to allow the user to set the register types (holding register, etc), count (number of bytes), structure (python struct type), etc. It would add more configuration variables, but I\'m willing to do it if that\'s what\'s necessary to get this PR approved.']"
6,319,6_coordinator_coordinatorentity_coordinators_coordinatordata,"['coordinator', 'coordinatorentity', 'coordinators', 'coordinatordata', 'coordinated', 'entity', 'entities', 'selfcoordinatordata', 'selfconfig', 'registered']","['type coordinator', 'Already done by the coordinator entity', 'It should always have a coordinator? How would it be possible to not have the coordinator?']"
7,245,7_state_states_states1_stateobj,"['state', 'states', 'states1', 'stateobj', 'class', 'hassstatesget', 'property', 'status', 'unknown', 'information']","['Does this need to check for STATE UNKNOWN ? Added.', 'If a state is unknown, we need to return None .', 'Why the state?']"
8,242,8_brightness_colormodeunknown_colors_colour,"['brightness', 'colormodeunknown', 'colors', 'colour', 'rgb', 'color', 'rgbw', 'hue', 'saturation', 'light']","[""Using only an RGB tuple to keep track of a light's color brightness usually does not work too well. Does the color handling of the RGB light really work reliably? What happens if you set a color, dim the light to brightness 1, then dim it to maximum brightness, is the light's color preserved or not? From what I remember from testing - yes. I'll go through these scenarios one more time. I'll also look into explaining why it was done this way specifically."", ""Is this correct, or can the LIFXColor and its subclasses support white with adjustable color temperature too? LIFXColor devices all support COLOR MODE COLOR TEMP as well as COLOR MODE HS Thanks Djelibeybi Does it mean this check is not needed, and supported color modes are always hs color temp? Also, it looks like the API sends a tuple (h, s, b, kelvin) to the light. What does the light do if saturation is not None , is the kelvin parameter ignored or still relevant? For color bulbs, they all support both modes. If min kelvin max kelvin then the bulb only supports brightness adjustment. if saturation 0 , the kelvin value is ignored. OK, so would this be correct: This product seems to be a bulb with adjustable color temperature but without color support though: Right, but it wouldn't be discovered as a LIFXColor bulb, though. OK updated so LIFXColor and LIFXStrip report support for color modes hs color temp. If saturation is 0, the light will report the current mode as color temp, else it will report hs."", 'This does not change the behavior compared to without this PR because it would always report a non- None hs color for lights supporting hue saturation which is interpreted as color mode hs by the base entity. However, for lights which support both hs and white mode it would be better to report according to the light\'s state. I did not immediately find anything useful in the library though. Any idea, Jc2k , bdraco? HomeKit (at least as defined in the public spec ( doesn\'t have the concept of an active color mode. You can use h s and you can use color temp. It has the characteristics you can see here, and thats it. There\'s no way to indicate which color mode is currently in use. Sometimes you can figure out a bit more from the open source example code. There are some notes here: L76 Again, theres no characteristic to indicate a color mode there. (via bdraco) says: Does that help? OK, I see. I\'ll add a comment in the code stating that\'s the case. The situation has changed a bit in iOS 13 The spec says that you\'re not supposed to have color and color temperature at the same time, but in practice even certified devices implement that now. Apple seems to be certifying them anyway, and the hope is that the spec will get updated in the next version to remove that restriction. iOS seems to handle it now so it seems like the documentation is behind the actual implementation The way iOS seems to handle it is, whichever characteristic was the last to get a notify event for is the color mode you\'re in For the devices that support both color and color temp you can expect to get a notify for the color which is usually the color temp to color conversion value, and then a notify for the actual color temperature characteristic. Some implementations will not send the notify for the color temperature to color conversion first, and only send the color temperature characteristic notify. In practice that\'s likely not a problem because in the UI we already compute the approximate color of the color temperature. It\'s also consistent with what I posted above which ever notify event that you get last is the color mode you are in The only real caveat is because events are sometimes coalesced if you receive a color and color temperature characteristic in the same event, you should prefer the color temp characteristic for the color mode That\'ll be awkward to implement with the current abstraction. For a start, aiohomekit doesn\'t do any tracking of when the last change occurred. Even if it did, polling and notifications get funnelled into the same state machine and right now we don\'t know which is which. And there is always polling as it was largely consequence free and a good way to recover on networks that have flakey wifi. If conversions are lossy we would potentially see a notification for one colour mode. Then after a minute there would be a poll of all colour values, which might look like a change into a different colour mode. There\'s also the gotcha that we can\'t recover the correct colour mode after a restart. We\'d have to wait for an event. We\'d also need to feed in our own colour mode changes that we generate, as you don\'t get a notify for a change you made through your own connection. At the moment this sounds like a workaround and I\'m not keen on going there unless it\'s a massive problem to not go there. There are only a few that implement both so I think it\'s fine to not support that setup. It does seem to be getting more common though so probably something for the future Hopefully we\'ll get a new spec or an ADK update... (doubt it). It might be less sucky after I\'ve done all the refactoring I want to in aiohomekit (I want the abstraction to be higher level than it is right now). Based on your discussion I don\'t think the simplification I did in 5ee6331 was correct, it should instead be like this: - If the light reports support for both ct and hs, we should expose that as supported color modes {COLOR MODE COLOR TEMP, COLOR MODE HS} (no change compared to before this PR) - Because aiohomekit does not track which color mode the light is in, a light supporting both ct and hs should just report color mode COLOR MODE HS (no change compared to before this PR) Is that right? To be more pedantic on the second bullet: the HAP protocol itself (rather than aiohomekit) doesn\'t really have a concept of a current colour mode to track and aiohomekit\'s abstraction doesn\'t let us work around that. And even if it did, it would be an incomplete work around (we would lose the ""current colour mode"" on a simple HA restart for example). I assume the official iOS implementation is subject to the same limitations too. (The thing I\'m being pedantic about is that despite the changes in iOS 13 it\'s still not the case there is a variable to track, we would have to track multiple variables for multiple event types (push, put and poll) and then infer our own value from the event timestamps of a subset of event types, only to have a partially working implementation at the end of it). In the future we could implement the heuristics described to make it closer to the ideal, but short of Apple adding a new colour mode characteristic there is a potential for our implementation to seem ""glitchy"". So we might not want to implement such heuristics at all. But the ultimate conclusion is the same, I think. OK, updated again. bdraco, Jc2k Is this PR OK now, or are more changes needed?']"
