PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date,Integration,Author
62901,Senseme,2021-12-28 00:51:22+00:00,2022-01-21 08:05:43+00:00,closed,13,0,23,https://github.com/home-assistant/core/pull/62901,New integration (thank you!),683,2022-01-20T07:14:10Z,senseme,mikelawrence
61126,Add new integration with Micropel PLCs,2021-12-06 21:40:43+00:00,2022-10-05 19:08:05+00:00,closed,8,19,301,https://github.com/home-assistant/core/pull/61126,New integration (thank you!),449,2022-10-04T18:39:26Z,micropel,vkorecky
78839,Add HaFAS integration,2022-09-20 14:41:09+00:00,2024-05-17 13:02:17+00:00,closed,23,15,603,https://github.com/home-assistant/core/pull/78839,New integration (thank you!),5190,2024-05-16T12:20:47Z,,
92988,Add YouTube integration,2023-05-12 12:33:07+00:00,2023-05-29 09:02:05+00:00,merged,26,77,15,https://github.com/home-assistant/core/pull/92988,New integration (thank you!),1457,2023-05-27T18:21:13Z,youtube,joostlek
109497,Add Motionblinds BLE integration,2024-02-03 11:02:29+00:00,2024-03-27 11:01:48+00:00,merged,17,196,51,https://github.com/home-assistant/core/pull/109497,New integration (thank you!),982,2024-03-26T08:52:04Z,motionblinds_ble,LennP
66438,Add Lidarr integration,2022-02-13 13:00:55+00:00,2022-10-19 10:04:08+00:00,merged,16,31,219,https://github.com/home-assistant/core/pull/66438,New integration (thank you!),816,2022-09-20T15:51:29Z,lidarr,tkdrob
57896,Add ebus integration,2021-10-17 10:05:53+00:00,2022-05-17 12:02:26+00:00,closed,15,26,211,https://github.com/home-assistant/core/pull/57896,New integration (thank you!),965,2022-05-16T11:16:38Z,ebus,rousseldenis
54859,Initial commit for EnaSolar integration,2021-08-19 03:12:22+00:00,2022-01-02 02:18:05+00:00,closed,14,125,134,https://github.com/home-assistant/core/pull/54859,New integration (thank you!),1032,2022-01-01T01:27:05Z,enasolar,geustace
67703,Add kdeconnect integration,2022-03-05 18:20:10+00:00,2023-10-07 10:01:59+00:00,closed,17,46,579,https://github.com/home-assistant/core/pull/67703,New integration (thank you!),978,2023-10-06T09:43:00Z,kdeconnect,freundTech
122253,Split august and yale integrations [part 1],2024-07-20 13:38:23+00:00,2024-08-01 12:03:44+00:00,merged,67,8,10,https://github.com/home-assistant/core/pull/122253,New integration (thank you!),6354,2024-07-31T11:50:17Z,yale,bdraco
85893,Add Sunsynk Integration,2023-01-14 20:40:06+00:00,2024-06-15 21:01:35+00:00,closed,14,74,516,https://github.com/home-assistant/core/pull/85893,New integration (thank you!),585,2024-06-14T20:05:14Z,sunsynk,jamesridgway
114113,Add airgradient integration,2024-03-24 14:29:35+00:00,2024-05-10 09:03:28+00:00,merged,25,29,45,https://github.com/home-assistant/core/pull/114113,New integration (thank you!),1432,2024-05-09T08:54:29Z,airgradient,joostlek
51932,Add Uonet+ Vulcan integration,2021-06-16 18:02:15+00:00,2021-09-18 21:01:41+00:00,closed,820,0,93,https://github.com/home-assistant/core/pull/51932,New integration (thank you!),46021,2021-09-17T20:56:14Z,vulcan,Antoni-Czaplicki
57856,Add benq projector integration,2021-10-16 15:39:44+00:00,2022-01-03 21:01:54+00:00,closed,4,5,78,https://github.com/home-assistant/core/pull/57856,New integration (thank you!),419,2022-01-02T20:41:22Z,benq_projector,ruben9696
