PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change
66438,Add Lidarr integration,2022-02-13 13:00:55+00:00,2022-10-19 10:04:08+00:00,merged,16,31,219,https://github.com/home-assistant/core/pull/66438,New integration (thank you!)
76575,Add Keymitt BLE integration,2022-08-10 21:57:28+00:00,2022-10-08 07:04:59+00:00,merged,19,129,42,https://github.com/home-assistant/core/pull/76575,New integration (thank you!)
56299,Add Aseko Pool Live integration,2021-09-16 17:07:46+00:00,2021-12-10 07:54:52+00:00,merged,17,14,80,https://github.com/home-assistant/core/pull/56299,New integration (thank you!)
46582,Flipr integration,2021-02-15 17:45:44+00:00,2021-08-14 09:37:58+00:00,merged,15,94,156,https://github.com/home-assistant/core/pull/46582,New integration (thank you!)
92988,Add YouTube integration,2023-05-12 12:33:07+00:00,2023-05-29 09:02:05+00:00,merged,26,77,15,https://github.com/home-assistant/core/pull/92988,New integration (thank you!)
52001,Add energy integration,2021-06-18 21:28:54+00:00,2021-07-27 17:08:48+00:00,merged,20,40,37,https://github.com/home-assistant/core/pull/52001,New integration (thank you!)
117068,Add LinknLink integration,2024-05-08 10:02:53+00:00,2024-08-10 14:01:49+00:00,closed,17,8,93,https://github.com/home-assistant/core/pull/117068,New integration (thank you!)
53140,Fjäråskupan kitchen fan,2021-07-18 10:14:58+00:00,2021-08-21 12:02:01+00:00,merged,15,58,33,https://github.com/home-assistant/core/pull/53140,New integration (thank you!)
65352,Create new Unmanic integration,2022-02-01 05:45:37+00:00,2022-03-18 01:28:33+00:00,closed,18,15,43,https://github.com/home-assistant/core/pull/65352,New integration (thank you!)
73363,Add Landis+Gyr Heat Meter integration,2022-06-11 16:47:38+00:00,2022-10-08 13:14:37+00:00,merged,15,84,67,https://github.com/home-assistant/core/pull/73363,New integration (thank you!)
59234,Add Balboa Spa integration,2021-11-06 13:56:18+00:00,2021-12-01 16:07:14+00:00,merged,17,123,19,https://github.com/home-assistant/core/pull/59234,New integration (thank you!)
90095,Add support for solvis heating via solvis remote sc2_val.xml,2023-03-22 09:04:59+00:00,2023-04-20 09:01:59+00:00,closed,20,22,27,https://github.com/home-assistant/core/pull/90095,New integration (thank you!)
120802,Integration for IronOS (Pinecil V2) soldering irons,2024-06-29 03:39:52+00:00,2024-07-30 10:01:59+00:00,merged,20,26,30,https://github.com/home-assistant/core/pull/120802,New integration (thank you!)
72522,Add Knovvu tts integration,2022-05-26 06:35:38+00:00,2022-06-08 14:01:50+00:00,closed,5,0,12,https://github.com/home-assistant/core/pull/72522,New integration (thank you!)
63637,Add Intellifire Gas Fireplace integration,2022-01-07 21:19:36+00:00,2022-01-22 08:01:47+00:00,merged,15,99,12,https://github.com/home-assistant/core/pull/63637,New integration (thank you!)
57630,Add support for ThingBits hub and sensors,2021-10-13 20:37:26+00:00,2022-02-06 23:01:38+00:00,closed,12,0,115,https://github.com/home-assistant/core/pull/57630,New integration (thank you!)
53401,Twcmanager integration,2021-07-23 20:32:47+00:00,2022-06-23 19:48:57+00:00,closed,13,25,334,https://github.com/home-assistant/core/pull/53401,New integration (thank you!)
77853,Add Google Sheets integration,2022-09-05 17:47:53+00:00,2022-09-21 14:29:15+00:00,merged,14,44,9,https://github.com/home-assistant/core/pull/77853,New integration (thank you!)
71498,Add Big Ass Fans integration,2022-05-07 19:17:18+00:00,2022-05-18 15:01:10+00:00,merged,19,17,7,https://github.com/home-assistant/core/pull/71498,New integration (thank you!)
84435,Add Stookwijzer,2022-12-22 11:12:28+00:00,2023-01-21 13:04:03+00:00,merged,16,34,29,https://github.com/home-assistant/core/pull/84435,New integration (thank you!)
81855,Add signal_messenger_jsonrpc,2022-11-09 12:17:14+00:00,2022-11-18 20:01:56+00:00,closed,7,0,8,https://github.com/home-assistant/core/pull/81855,New integration (thank you!)
80326,Add formula_one integration,2022-10-14 13:04:38+00:00,2024-05-05 19:01:42+00:00,closed,16,78,568,https://github.com/home-assistant/core/pull/80326,New integration (thank you!)
90006,Add Flexit bacnet integration,2023-03-20 21:40:29+00:00,2023-06-14 09:01:48+00:00,closed,16,79,83,https://github.com/home-assistant/core/pull/90006,New integration (thank you!)
63155,Add Remootio integration,2021-12-31 21:19:04+00:00,2024-07-06 19:01:56+00:00,closed,16,181,916,https://github.com/home-assistant/core/pull/63155,New integration (thank you!)
53062,Glinet router support,2021-07-15 16:59:38+00:00,2021-10-25 10:12:23+00:00,closed,16,0,100,https://github.com/home-assistant/core/pull/53062,New integration (thank you!)
106449,Add Zimi Cloud Controller integration,2023-12-27 02:30:35+00:00,2024-09-28 12:03:54+00:00,closed,16,13,275,https://github.com/home-assistant/core/pull/106449,New integration (thank you!)
66431,Rki covid,2022-02-13 07:56:47+00:00,2023-01-23 21:01:48+00:00,closed,27,10,343,https://github.com/home-assistant/core/pull/66431,New integration (thank you!)
63087,Add Wevolor integration,2021-12-30 18:22:11+00:00,2022-03-28 22:01:50+00:00,closed,14,52,87,https://github.com/home-assistant/core/pull/63087,New integration (thank you!)
64173,New integration flashforge,2022-01-15 19:28:29+00:00,2022-07-29 11:01:58+00:00,closed,17,29,193,https://github.com/home-assistant/core/pull/64173,New integration (thank you!)
45071,Add avreceiver,2021-01-12 05:44:12+00:00,2021-08-15 14:01:54+00:00,closed,17,33,214,https://github.com/home-assistant/core/pull/45071,New integration (thank you!)
91582,Add Connector integration,2023-04-18 06:55:28+00:00,2023-11-30 23:02:01+00:00,closed,15,49,225,https://github.com/home-assistant/core/pull/91582,New integration (thank you!)
115613,Add Swidget integration,2024-04-15 01:13:03+00:00,2024-06-21 03:01:45+00:00,closed,1479,65,66,https://github.com/home-assistant/core/pull/115613,New integration (thank you!)
123860,Add LG ThinQ Integration,2024-08-14 08:14:52+00:00,2024-09-02 00:31:16+00:00,merged,18,234,16,https://github.com/home-assistant/core/pull/123860,New integration (thank you!)
59660,Add `rtsptowebrtc` integration,2021-11-14 00:50:59+00:00,2022-01-02 21:02:04+00:00,merged,14,32,48,https://github.com/home-assistant/core/pull/59660,New integration (thank you!)
76863,Add livisi integration,2022-08-16 12:49:02+00:00,2022-11-08 14:04:23+00:00,merged,15,266,83,https://github.com/home-assistant/core/pull/76863,New integration (thank you!)
93626,Add jsonlog component for dedicated JSON-formatted log file,2023-05-26 19:32:31+00:00,2023-12-11 20:56:12+00:00,closed,14,0,166,https://github.com/home-assistant/core/pull/93626,New integration (thank you!)
68577,Add ZiGate device on automatic integration USB and ZEROCONF,2022-03-23 17:22:29+00:00,2022-05-10 00:05:26+00:00,merged,5,15,46,https://github.com/home-assistant/core/pull/68577,New integration (thank you!)
119784,Add integration Zabbix Event Sensors,2024-06-16 18:59:56+00:00,2024-07-16 07:01:54+00:00,closed,16,0,28,https://github.com/home-assistant/core/pull/119784,New integration (thank you!)
98216,Add LoRaWAN integration,2023-08-10 17:04:19+00:00,2023-10-17 22:02:40+00:00,closed,21,4,67,https://github.com/home-assistant/core/pull/98216,New integration (thank you!)
106420,Add Huum integration,2023-12-26 17:43:57+00:00,2024-01-26 12:02:08+00:00,merged,14,134,29,https://github.com/home-assistant/core/pull/106420,New integration (thank you!)
58053,Add QNAP QSW integration,2021-10-19 18:25:51+00:00,2022-05-26 17:51:33+00:00,closed,32,0,144,https://github.com/home-assistant/core/pull/58053,New integration (thank you!)
81948,Add `date` platform,2022-11-11 07:10:48+00:00,2023-05-02 12:02:11+00:00,merged,13,27,170,https://github.com/home-assistant/core/pull/81948,New integration (thank you!)
102978,Add virtual integration Fujitsu anywAIR,2023-10-28 23:38:59+00:00,2023-12-05 08:03:04+00:00,merged,3,4,36,https://github.com/home-assistant/core/pull/102978,New integration (thank you!)
86551,Add Devialet integration,2023-01-24 18:08:38+00:00,2023-11-29 15:03:05+00:00,merged,29,27,307,https://github.com/home-assistant/core/pull/86551,New integration (thank you!)
108336,Add SimpleFIN integration,2024-01-19 01:13:22+00:00,2024-07-11 11:01:48+00:00,merged,19,142,173,https://github.com/home-assistant/core/pull/108336,New integration (thank you!)
61182,Add support of Z-Wave.Me Z-Way and RaZberry server,2021-12-07 17:34:47+00:00,2022-01-25 12:02:14+00:00,merged,16,139,47,https://github.com/home-assistant/core/pull/61182,New integration (thank you!)
100573,Add Refoss integration,2023-09-19 01:45:38+00:00,2023-12-23 13:01:48+00:00,merged,19,67,94,https://github.com/home-assistant/core/pull/100573,New integration (thank you!)
84748,Add JVC Projector integration,2022-12-29 01:28:53+00:00,2024-01-26 15:50:40+00:00,merged,21,39,127,https://github.com/home-assistant/core/pull/84748,New integration (thank you!)
59788,Add new integration luxtronik,2021-11-16 16:13:16+00:00,2022-12-12 19:01:50+00:00,closed,0,49,390,https://github.com/home-assistant/core/pull/59788,New integration (thank you!)
48042,Add new Bitvavo integration,2021-03-17 19:51:16+00:00,2021-07-22 10:01:46+00:00,closed,18,46,125,https://github.com/home-assistant/core/pull/48042,New integration (thank you!)
103387,Add OurGroceries integration,2023-11-04 16:13:27+00:00,2023-11-28 18:01:54+00:00,merged,17,21,22,https://github.com/home-assistant/core/pull/103387,New integration (thank you!)
99901,Add integration EyeOnWater,2023-09-08 04:39:48+00:00,2023-12-16 11:01:50+00:00,closed,11,7,98,https://github.com/home-assistant/core/pull/99901,New integration (thank you!)
103345,Add OVOS/Neon Voice Assistants integration,2023-11-03 22:48:05+00:00,2024-03-14 02:06:50+00:00,closed,14,5,130,https://github.com/home-assistant/core/pull/103345,New integration (thank you!)
51136,Add support for Frigidaire AC,2021-05-27 01:24:21+00:00,2022-02-15 21:01:55+00:00,closed,14,40,263,https://github.com/home-assistant/core/pull/51136,New integration (thank you!)
62901,Senseme,2021-12-28 00:51:22+00:00,2022-01-21 08:05:43+00:00,closed,13,0,23,https://github.com/home-assistant/core/pull/62901,New integration (thank you!)
57856,Add benq projector integration,2021-10-16 15:39:44+00:00,2022-01-03 21:01:54+00:00,closed,4,5,78,https://github.com/home-assistant/core/pull/57856,New integration (thank you!)
107570,Add Epion integration,2024-01-08 17:54:48+00:00,2024-01-17 06:02:00+00:00,merged,17,71,7,https://github.com/home-assistant/core/pull/107570,New integration (thank you!)
60555,Add WalkingPad integration,2021-11-29 20:21:04+00:00,2021-12-14 12:01:57+00:00,closed,1829,3,13,https://github.com/home-assistant/core/pull/60555,New integration (thank you!)
57124,Add new tomorrow.io integration to replace Climacell - Part 2/3,2021-10-05 16:18:33+00:00,2021-11-16 04:01:42+00:00,merged,10,7,40,https://github.com/home-assistant/core/pull/57124,New integration (thank you!)
124410,Add go2rtc and extend camera integration for better WebRTC support,2024-08-22 11:30:29+00:00,2024-10-04 08:02:39+00:00,merged,35,32,41,https://github.com/home-assistant/core/pull/124410,New integration (thank you!)
102165,Add olarm sensors,2023-10-17 13:24:16+00:00,2023-12-31 09:01:45+00:00,closed,16,6,73,https://github.com/home-assistant/core/pull/102165,New integration (thank you!)
71113,Add elro_connects integration,2022-04-30 13:40:19+00:00,2022-11-10 08:02:11+00:00,closed,20,5,192,https://github.com/home-assistant/core/pull/71113,New integration (thank you!)
56094,Add ws66i core integration,2021-09-11 06:34:42+00:00,2022-05-13 03:36:03+00:00,merged,17,126,239,https://github.com/home-assistant/core/pull/56094,New integration (thank you!)
107054,Add Linknlink Integration,2024-01-04 05:48:57+00:00,2024-03-28 11:04:41+00:00,closed,17,40,83,https://github.com/home-assistant/core/pull/107054,New integration (thank you!)
94438,Add Miraie AC integration,2023-06-11 20:39:31+00:00,2024-02-20 16:06:52+00:00,closed,13,67,252,https://github.com/home-assistant/core/pull/94438,New integration (thank you!)
95967,Add new integration refoss,2023-07-06 06:56:02+00:00,2023-09-20 02:07:32+00:00,closed,16,69,74,https://github.com/home-assistant/core/pull/95967,New integration (thank you!)
77188,MPRIS Linux HTPC/desktop/laptop media player remote control,2022-08-23 00:17:38+00:00,2024-01-10 14:18:19+00:00,closed,21,141,504,https://github.com/home-assistant/core/pull/77188,New integration (thank you!)
119237,Add Kermi integration,2024-06-09 20:43:06+00:00,2024-08-20 13:04:29+00:00,closed,19,26,70,https://github.com/home-assistant/core/pull/119237,New integration (thank you!)
71526,Add Sungrow solar inverter integration,2022-05-08 13:01:44+00:00,2023-11-30 22:06:49+00:00,closed,14,75,570,https://github.com/home-assistant/core/pull/71526,New integration (thank you!)
48048,Add Leviosa Motor Shades Zone hub integration ,2021-03-17 20:46:04+00:00,2021-08-14 21:01:52+00:00,closed,16,2,148,https://github.com/home-assistant/core/pull/48048,New integration (thank you!)
77055,Add new integration mhtzn,2022-08-20 02:43:51+00:00,2022-09-04 03:47:24+00:00,closed,13,12,14,https://github.com/home-assistant/core/pull/77055,New integration (thank you!)
84081,Add reolink IP NVR/Camera integration,2022-12-15 23:10:51+00:00,2022-12-29 16:03:10+00:00,merged,17,80,11,https://github.com/home-assistant/core/pull/84081,New integration (thank you!)
61126,Add new integration with Micropel PLCs,2021-12-06 21:40:43+00:00,2022-10-05 19:08:05+00:00,closed,8,19,301,https://github.com/home-assistant/core/pull/61126,New integration (thank you!)
62451,Add Hyundai/Kia Connect integration,2021-12-20 22:17:46+00:00,2022-07-16 13:06:46+00:00,closed,15,87,206,https://github.com/home-assistant/core/pull/62451,New integration (thank you!)
82391,Add integration for Kostal Piko solar inverters,2022-11-19 21:35:54+00:00,2023-12-17 17:05:29+00:00,closed,15,36,391,https://github.com/home-assistant/core/pull/82391,New integration (thank you!)
50894,Add HifiBerry integration,2021-05-20 13:08:47+00:00,2022-05-08 00:05:59+00:00,closed,14,12,351,https://github.com/home-assistant/core/pull/50894,New integration (thank you!)
52030,Add gandi livedns integration,2021-06-20 10:33:25+00:00,2022-05-06 09:01:59+00:00,closed,10,14,318,https://github.com/home-assistant/core/pull/52030,New integration (thank you!)
46005,Spokestack TTS platform,2021-02-04 18:23:51+00:00,2021-11-30 23:01:50+00:00,closed,12,45,298,https://github.com/home-assistant/core/pull/46005,New integration (thank you!)
69167,Add YoLink product integration,2022-04-03 05:29:24+00:00,2022-05-18 08:02:25+00:00,merged,19,148,44,https://github.com/home-assistant/core/pull/69167,New integration (thank you!)
86084,Add Asus Router integration,2023-01-17 13:07:21+00:00,2023-12-15 15:01:56+00:00,closed,19,6,331,https://github.com/home-assistant/core/pull/86084,New integration (thank you!)
85893,Add Sunsynk Integration,2023-01-14 20:40:06+00:00,2024-06-15 21:01:35+00:00,closed,14,74,516,https://github.com/home-assistant/core/pull/85893,New integration (thank you!)
66130,Add new Rabbit Air integration,2022-02-09 00:32:24+00:00,2024-01-26 15:50:17+00:00,merged,19,97,695,https://github.com/home-assistant/core/pull/66130,New integration (thank you!)
62764,Starlink integration,2021-12-25 04:14:50+00:00,2022-05-10 14:06:47+00:00,closed,16,15,134,https://github.com/home-assistant/core/pull/62764,New integration (thank you!)
120382,Add madvr envy integration,2024-06-25 03:15:33+00:00,2024-07-08 19:01:43+00:00,merged,22,211,12,https://github.com/home-assistant/core/pull/120382,New integration (thank you!)
46218,Add Rituals Perfume Genie integration,2021-02-08 12:53:52+00:00,2021-02-21 22:06:14+00:00,merged,14,27,12,https://github.com/home-assistant/core/pull/46218,New integration (thank you!)
